Region,Agreement_Type,Provider,Generation_Type,Generation_Capacity,PeriodCode,value,Date,temperature_2m_mean,wind_speed_10m_max,daylight_duration,snowfall_sum,temperature_2m_max,temperature_2m_min,precipitation_sum
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,2480.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,92",KWH01,3623.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,76",KWH01,2477.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,3588.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,4288.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,92",KWH01,2331.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,79",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,2597.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"4,8",KWH01,2610.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,3186.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,6",KWH01,1805.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,96",KWH01,3732.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,72",KWH01,3499.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Nutolęs gaminantis vartotojas,0,KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,5,KWH01,2591.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"4,08",KWH01,2802.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,92",KWH01,3607.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"8,4",KWH01,2741.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,8",KWH01,3491.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Nutolęs gaminantis vartotojas,0,KWH01,1320.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"19,76",KWH01,4395.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,17,KWH01,254.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"15,84",KWH01,2520.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,5",KWH01,2941.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,8",KWH01,2658.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,3168.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,2613.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,88",KWH01,2909.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,3334.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,3661.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
